14;Misiones;Misiones
9;Formosa;Formosa
7;Buenos Aires F.D.;Buenos Aires F.D.
8;Entre Rios;Entre Rios
6;Corrientes;Corrientes
1;Buenos Aires;Buenos Aires
24;Tucumán;Tucuman
23;Tierra del Fuego;Tierra del Fuego
22;Santiago del Estero;Santiago del Estero
21;Santa Fe;Santa Fe
20;Santa Cruz;Santa Cruz
19;San Luis;San Luis
18;San Juan;San Juan
17;Salta;Salta
16;Rio Negro;Rio Negro
15;Neuquen;Neuquen
13;Mendoza;Mendoza
12;La Rioja;La Rioja
11;La Pampa;La Pampa
10;Jujuy;Jujuy
5;Cordoba;Cordoba
4;Chubut;Chubut
3;Chaco;Chaco
2;Catamarca;Catamarca
